iter	Passed	Remaining
0	54	5431
1	58	2882
2	62	2032
3	66	1600
4	70	1334
5	74	1165
6	78	1040
7	82	945
8	85	867
9	89	804
10	92	751
11	96	708
12	100	669
13	104	640
14	107	609
15	114	598
16	118	576
17	123	561
18	127	542
19	131	526
20	136	512
21	140	496
22	145	486
23	148	469
24	151	454
25	155	441
26	158	429
27	162	418
28	165	406
29	169	395
30	173	386
31	178	378
32	183	372
33	187	363
34	191	354
35	195	347
36	198	338
37	201	329
38	204	320
39	210	315
40	213	307
41	217	300
42	220	292
43	225	286
44	229	280
45	233	273
46	237	267
47	242	263
48	246	256
49	250	250
50	254	244
51	259	239
52	263	234
53	267	228
54	271	222
55	277	218
56	281	212
57	286	207
58	292	203
59	296	197
60	299	191
61	304	186
62	309	181
63	313	176
64	317	171
65	322	165
66	326	160
67	330	155
68	334	150
69	339	145
70	345	141
71	349	136
72	355	131
73	359	126
74	364	121
75	368	116
76	372	111
77	376	106
78	379	100
79	383	95
80	387	90
81	393	86
82	397	81
83	402	76
84	407	71
85	411	67
86	416	62
87	422	57
88	426	52
89	429	47
90	434	42
91	439	38
92	444	33
93	448	28
94	454	23
95	458	19
96	462	14
97	467	9
98	471	4
99	474	0
